NumLigne,An,Zone,Lt,Ni,Nm
1,83,1, 15, 3, 0
2,83,1, 16, 1, 0
3,83,1, 17, 1, 0
4,83,1, 18, 1, 0
5,83,1, 23, 2, 0
6,83,1, 24, 1, 0
7,83,1, 25, 2, 0
8,83,1, 26, 5, 0
9,83,1, 27, 6, 0
10,83,1, 28, 6, 0
11,83,1, 29,13, 0
12,83,1, 30,11, 0
13,83,1, 31,10, 0
14,83,1, 32,13, 1
15,83,1, 33,18, 0
16,83,1, 34,18, 0
17,83,1, 35,12, 0
18,83,1, 36,19, 0
19,83,1, 37,17, 0
20,83,1, 38,18, 0
21,83,1, 39,19, 0
22,83,1, 40,17, 0
23,83,1, 41,13, 0
24,83,1, 42,17, 0
25,83,1, 43,17, 0
26,83,1, 44,13, 0
27,83,1, 45,15, 0
28,83,1, 46, 8, 0
29,83,1, 47,13, 0
30,83,1, 48, 9, 0
31,83,1, 49,13, 0
32,83,1, 50, 9, 0
33,83,1, 51,12, 0
34,83,1, 52,12, 0
35,83,1, 53, 9, 1
36,83,1, 54,14, 0
37,83,1, 55,11, 1
38,83,1, 56, 5, 3
39,83,1, 57, 5, 0
40,83,1, 58, 7, 0
41,83,1, 59, 7, 0
42,83,1, 60,10, 0
43,83,1, 61, 2, 0
44,83,1, 62, 6, 1
45,83,1, 63, 3, 0
46,83,1, 64, 1, 1
47,83,1, 65, 6, 1
48,83,1, 66, 2, 1
49,83,1, 67, 6, 2
50,83,1, 68, 3, 3
51,83,1, 69, 1, 3
52,83,1, 70,11, 4
53,83,1, 71, 1, 1
54,83,1, 72, 1, 4
55,83,1, 73, 1, 4
56,83,1, 74, 1, 1
57,83,1, 75,12, 6
58,83,1, 76, 3, 3
59,83,1, 77, 0, 1
60,83,1, 78, 0, 5
61,83,1, 79, 2, 3
62,83,1, 80, 1, 3
63,83,1, 81, 0, 1
64,83,1, 82, 0, 3
65,83,1, 83, 1, 2
66,83,1, 84, 0, 5
67,83,1, 85, 0, 6
68,83,1, 86, 0, 1
69,83,1, 90, 1, 5
70,83,1, 91, 0, 1
71,83,1, 96, 0, 1
72,83,1, 97, 0, 1
73,83,1, 99, 0, 1
74,83,1,100, 0, 2
75,83,1,111, 0, 1
76,83,2, 11, 1, 0
77,83,2, 12, 2, 0
78,83,2, 13, 1, 0
79,83,2, 14, 2, 0
80,83,2, 15, 2, 0
81,83,2, 16, 5, 0
82,83,2, 17, 1, 0
83,83,2, 18, 3, 0
84,83,2, 19, 1, 0
85,83,2, 20, 1, 0
86,83,2, 21, 4, 0
87,83,2, 22, 3, 0
88,83,2, 23, 1, 0
89,83,2, 24, 3, 0
90,83,2, 25, 4, 0
91,83,2, 26,10, 0
92,83,2, 27, 6, 0
93,83,2, 28, 8, 0
94,83,2, 29, 8, 1
95,83,2, 30,17, 0
96,83,2, 31,10, 0
97,83,2, 32, 5, 0
98,83,2, 33, 3, 0
99,83,2, 34, 9, 0
100,83,2, 35, 8, 0
101,83,2, 36, 1, 0
102,83,2, 37, 7, 0
103,83,2, 38, 5, 0
104,83,2, 39, 2, 0
105,83,2, 40, 1, 0
106,83,2, 41, 2, 0
107,83,2, 42, 1, 0
108,83,2, 43, 2, 0
109,83,2, 45, 2, 0
110,83,2, 48, 1, 0
111,83,2, 49, 1, 0
112,83,2, 51, 1, 0
113,83,2, 53, 0, 1
114,83,2, 57, 1, 0
115,83,2, 62, 1, 0
116,83,2, 72, 0, 1
117,83,2, 77, 0, 1
118,83,2, 79, 0, 1
119,83,2, 80, 0, 1
120,83,2, 82, 0, 1
121,83,2, 85, 0, 1
122,83,2, 86, 0, 1
123,83,2, 90, 0, 3
124,83,2, 92, 0, 1
125,83,2, 93, 0, 1
126,83,2, 94, 0, 4
127,83,2, 95, 0, 4
128,83,2, 96, 0, 1
129,83,2, 97, 0, 2
130,83,2, 98, 0, 1
131,83,2, 99, 0, 5
132,83,2,100, 0, 2
133,83,2,101, 0, 4
134,83,2,102, 0, 1
135,83,2,103, 0, 2
136,83,2,106, 0, 1
137,83,2,107, 0, 1
138,83,2,108, 0, 1
139,83,2,109, 0, 1
140,83,2,110, 0, 1
141,83,2,115, 0, 1
142,83,3, 16, 1, 0
143,83,3, 20, 1, 0
144,83,3, 22, 1, 0
145,83,3, 23, 1, 0
146,83,3, 24, 1, 0
147,83,3, 25, 1, 0
148,83,3, 26, 3, 0
149,83,3, 27, 4, 0
150,83,3, 28, 6, 1
151,83,3, 29, 9, 1
152,83,3, 30, 7, 0
153,83,3, 31, 9, 0
154,83,3, 32,10, 0
155,83,3, 33, 9, 0
156,83,3, 34,14, 0
157,83,3, 35, 9, 0
158,83,3, 36,10, 0
159,83,3, 37,11, 0
160,83,3, 38, 5, 0
161,83,3, 39, 7, 0
162,83,3, 40, 6, 0
163,83,3, 41, 7, 1
164,83,3, 42, 6, 0
165,83,3, 43, 2, 0
166,83,3, 44, 4, 0
167,83,3, 45, 7, 0
168,83,3, 46, 5, 1
169,83,3, 47, 2, 0
170,83,3, 48, 2, 0
171,83,3, 49, 1, 0
172,83,3, 50, 1, 1
173,83,3, 51, 1, 0
174,83,3, 52, 3, 0
175,83,3, 54, 2, 1
176,83,3, 56, 2, 0
177,83,3, 57, 1, 0
178,83,3, 58, 0, 1
179,83,3, 59, 0, 1
180,83,3, 60, 1, 0
181,83,3, 61, 0, 2
182,83,3, 62, 1, 1
183,83,3, 63, 1, 1
184,83,3, 67, 1, 1
185,83,3, 68, 1, 0
186,83,3, 69, 1, 0
187,83,3, 70, 0, 2
188,83,3, 72, 0, 1
189,83,3, 74, 0, 1
190,83,3, 75, 1, 0
191,83,3, 76, 0, 1
192,83,3, 78, 0, 1
193,83,3, 80, 1, 3
194,83,3, 81, 0, 1
195,83,3, 82, 0, 2
196,83,3, 84, 0, 1
197,83,3, 85, 0, 3
198,83,3, 88, 0, 1
199,83,3, 90, 0, 3
200,83,3, 91, 0, 1
201,83,3, 93, 0, 2
202,83,3, 94, 0, 1
203,83,3, 95, 0, 3
204,83,3, 96, 0, 1
205,83,3, 97, 0, 2
206,83,3, 98, 0, 3
207,83,3,102, 0, 2
208,83,3,103, 0, 1
209,83,3,104, 0, 2
210,83,3,110, 0, 1
211,83,3,111, 0, 1
212,83,3,114, 0, 2
213,83,3,117, 0, 1
214,83,3,122, 0, 1
215,83,4, 25, 2, 0
216,83,4, 26, 2, 0
217,83,4, 28, 3, 0
218,83,4, 30, 2, 0
219,83,4, 31, 7, 0
220,83,4, 32, 1, 0
221,83,4, 33, 3, 0
222,83,4, 34, 3, 0
223,83,4, 35, 1, 1
224,83,4, 36, 1, 0
225,83,4, 38, 2, 0
226,83,4, 42, 1, 0
227,83,4, 56, 0, 1
228,83,4, 57, 1, 0
229,83,4, 62, 1, 0
230,83,4, 92, 0, 1
231,83,4, 93, 0, 1
232,83,4, 94, 0, 1
233,83,4, 95, 0, 1
234,83,4, 96, 0, 1
235,83,4,102, 0, 1
236,83,4,110, 0, 1
237,83,4,111, 0, 1
238,83,5, 20, 2, 0
239,83,5, 23, 1, 0
240,83,5, 24, 1, 0
241,83,5, 30, 1, 0
242,83,5, 31, 1, 0
243,83,5, 33, 1, 0
244,83,5, 37, 3, 0
245,83,5, 38, 1, 0
246,83,5, 39, 1, 0
247,83,5, 40, 1, 0
248,83,5, 41, 1, 0
249,83,5, 42, 3, 0
250,83,5, 43, 1, 0
251,83,5, 44, 0, 1
252,83,5, 46, 2, 0
253,83,5, 47, 3, 0
254,83,5, 48, 3, 1
255,83,5, 49, 2, 1
256,83,5, 50, 2, 0
257,83,5, 51, 4, 0
258,83,5, 52, 5, 1
259,83,5, 53, 2, 0
260,83,5, 54, 1, 0
261,83,5, 55, 2, 1
262,83,5, 58, 1, 0
263,83,5, 60, 1, 0
264,83,5, 67, 2, 0
265,83,5, 74, 0, 1
266,83,5, 76, 0, 3
267,83,5, 80, 0, 1
268,83,5, 82, 0, 1
269,83,5, 87, 0, 1
270,83,5, 88, 0, 2
271,83,5, 94, 0, 3
272,83,5, 95, 0, 1
273,83,5, 96, 0, 1
274,83,5, 97, 0, 2
275,83,5, 98, 0, 1
276,83,5,101, 0, 1
277,83,5,103, 0, 1
278,83,5,104, 0, 2
279,83,5,105, 0, 1
280,83,5,108, 0, 2
281,83,5,110, 0, 1
282,83,6, 13, 3, 0
283,83,6, 14, 6, 0
284,83,6, 15,12, 0
285,83,6, 16,14, 0
286,83,6, 17,14, 0
287,83,6, 18,12, 0
288,83,6, 19,14, 0
289,83,6, 20,14, 0
290,83,6, 21,19, 0
291,83,6, 22,15, 0
292,83,6, 23,10, 0
293,83,6, 24,11, 0
294,83,6, 25, 6, 0
295,83,6, 26,11, 0
296,83,6, 27,14, 0
297,83,6, 28, 5, 0
298,83,6, 29, 6, 0
299,83,6, 30, 1, 0
300,83,6, 31, 9, 0
301,83,6, 32, 7, 0
302,83,6, 33, 6, 0
303,83,6, 34,10, 0
304,83,6, 35,12, 0
305,83,6, 36,10, 0
306,83,6, 37, 9, 0
307,83,6, 38,11, 0
308,83,6, 39,12, 0
309,83,6, 40, 9, 0
310,83,6, 41,12, 0
311,83,6, 42,10, 0
312,83,6, 43,14, 0
313,83,6, 44,13, 0
314,83,6, 45,13, 0
315,83,6, 46,13, 0
316,83,6, 47, 9, 0
317,83,6, 48,10, 0
318,83,6, 49,16, 0
319,83,6, 50, 9, 1
320,83,6, 51,17, 0
321,83,6, 52, 8, 1
322,83,6, 53, 5, 0
323,83,6, 54, 3, 0
324,83,6, 55, 5, 0
325,83,6, 56, 4, 0
326,83,6, 57, 1, 0
327,83,6, 58, 2, 0
328,83,6, 59, 1, 0
329,83,6, 60, 3, 0
330,83,6, 61, 0, 1
331,83,6, 62, 2, 0
332,83,6, 63, 1, 0
333,83,6, 64, 1, 0
334,83,6, 65, 1, 2
335,83,6, 66, 1, 0
336,83,6, 69, 2, 1
337,83,6, 70, 3, 2
338,83,6, 72, 0, 1
339,83,6, 75, 1, 2
340,83,6, 78, 0, 1
341,83,6, 80, 0, 4
342,83,6, 81, 0, 1
343,83,6, 83, 0, 2
344,83,6, 84, 0, 2
345,83,6, 85, 0, 3
346,83,6, 88, 0, 1
347,83,6, 90, 0, 4
348,83,6, 92, 0, 1
349,83,6, 93, 0, 1
350,83,6, 94, 0, 1
351,83,6, 95, 0, 1
352,83,6, 96, 0, 3
353,83,6, 97, 0, 1
354,83,6, 98, 0, 1
355,83,6,100, 0, 4
356,83,6,104, 0, 2
357,83,6,105, 0, 3
358,83,6,106, 0, 1
359,83,6,108, 0, 1
360,83,6,113, 0, 1
361,83,6,115, 0, 1
362,83,6,118, 0, 2
363,83,7, 19, 1, 0
364,83,7, 21, 2, 0
365,83,7, 22, 5, 0
366,83,7, 23, 1, 0
367,83,7, 24, 2, 0
368,83,7, 25, 1, 0
369,83,7, 26, 1, 0
370,83,7, 28, 1, 0
371,83,7, 29, 7, 0
372,83,7, 30, 1, 0
373,83,7, 31, 1, 0
374,83,7, 32, 8, 0
375,83,7, 33, 5, 0
376,83,7, 34,10, 0
377,83,7, 35, 3, 0
378,83,7, 36, 5, 0
379,83,7, 37, 7, 0
380,83,7, 38, 4, 0
381,83,7, 39, 4, 0
382,83,7, 40, 5, 0
383,83,7, 41, 1, 0
384,83,7, 42, 2, 0
385,83,7, 43, 3, 0
386,83,7, 44, 4, 0
387,83,7, 45, 3, 0
388,83,7, 46, 3, 0
389,83,7, 47, 3, 0
390,83,7, 48, 2, 0
391,83,7, 49, 2, 0
392,83,7, 50, 1, 0
393,83,7, 51, 1, 0
394,83,7, 53, 1, 0
395,83,7, 54, 1, 0
396,83,7, 55, 1, 0
397,83,7, 57, 2, 0
398,83,7, 58, 1, 0
399,83,7, 64, 0, 1
400,83,7, 65, 0, 1
401,83,7, 66, 0, 1
402,83,7, 67, 0, 1
403,83,7, 70, 0, 1
404,83,7, 74, 0, 1
405,83,7, 75, 0, 2
406,83,7, 79, 0, 1
407,83,7, 81, 0, 1
408,83,7, 88, 0, 1
409,83,7,111, 0, 1
410,83,7,113, 0, 1
411,84,1, 13, 0, 1
412,84,1, 15, 1, 0
413,84,1, 16, 1, 0
414,84,1, 18, 1, 0
415,84,1, 19, 1, 0
416,84,1, 20, 2, 0
417,84,1, 22, 1, 0
418,84,1, 24, 5, 0
419,84,1, 25, 5, 0
420,84,1, 26, 7, 0
421,84,1, 27, 8, 0
422,84,1, 28,16, 0
423,84,1, 29,16, 0
424,84,1, 30,18, 0
425,84,1, 31,19, 0
426,84,1, 32,13, 0
427,84,1, 33,14, 0
428,84,1, 34,17, 0
429,84,1, 35,13, 0
430,84,1, 36,14, 0
431,84,1, 37,15, 0
432,84,1, 38, 9, 0
433,84,1, 39,16, 0
434,84,1, 40, 8, 0
435,84,1, 41, 8, 0
436,84,1, 42, 8, 0
437,84,1, 43, 7, 0
438,84,1, 44, 7, 0
439,84,1, 45,10, 0
440,84,1, 46, 9, 1
441,84,1, 47, 5, 0
442,84,1, 48, 1, 1
443,84,1, 49, 8, 2
444,84,1, 50, 3, 1
445,84,1, 51, 5, 1
446,84,1, 52, 7, 2
447,84,1, 53, 7, 3
448,84,1, 54, 9, 0
449,84,1, 55, 5, 0
450,84,1, 56, 8, 0
451,84,1, 57, 5, 2
452,84,1, 58, 3, 1
453,84,1, 59, 4, 2
454,84,1, 60, 4, 1
455,84,1, 61, 2, 1
456,84,1, 62, 1, 1
457,84,1, 63, 6, 2
458,84,1, 64, 3, 1
459,84,1, 65, 1, 1
460,84,1, 66, 5, 4
461,84,1, 67, 1, 2
462,84,1, 68, 3, 4
