date	jour	mois	annee	T_eau	T_air
01/01/1987	1	1	1987	7.537	9.800
02/01/1987	2	1	1987	6.430	5.300
03/01/1987	3	1	1987	6.946	3.800
04/01/1987	4	1	1987	6.946	4.500
05/01/1987	5	1	1987	7.906	4.500
06/01/1987	6	1	1987	7.700	5.800
07/01/1987	7	1	1987	7.200	2.800
08/01/1987	8	1	1987	7.500	0.300
09/01/1987	9	1	1987	7.700	0.000
10/01/1987	10	1	1987	6.500	0.500
11/01/1987	11	1	1987	5.500	-1.800
12/01/1987	12	1	1987	5.000	-9.800
13/01/1987	13	1	1987	5.000	-9.000
14/01/1987	14	1	1987	5.500	-6.000
15/01/1987	15	1	1987	5.500	-3.000
16/01/1987	16	1	1987	5.500	-3.300
17/01/1987	17	1	1987	5.000	-5.300
18/01/1987	18	1	1987	5.000	-5.500
19/01/1987	19	1	1987	5.000	-6.000
20/01/1987	20	1	1987	4.700	-5.000
21/01/1987	21	1	1987	4.700	-3.500
22/01/1987	22	1	1987	5.500	-3.300
23/01/1987	23	1	1987	6.000	2.500
24/01/1987	24	1	1987	5.700	0.800
25/01/1987	25	1	1987	5.700	0.500
26/01/1987	26	1	1987	4.363	1.000
27/01/1987	27	1	1987	3.625	1.000
28/01/1987	28	1	1987	4.216	0.000
29/01/1987	29	1	1987	3.625	0.800
30/01/1987	30	1	1987	3.478	0.000
31/01/1987	31	1	1987	3.256	-0.300
01/02/1987	1	2	1987	6.061	-0.500
02/02/1987	2	2	1987	4.954	3.300
03/02/1987	3	2	1987	7.537	1.800
04/02/1987	4	2	1987	7.684	5.300
05/02/1987	5	2	1987	7.906	5.500
06/02/1987	6	2	1987	9.898	5.800
07/02/1987	7	2	1987	10.858	8.500
08/02/1987	8	2	1987	11.374	9.800
09/02/1987	9	2	1987	8.000	10.500
10/02/1987	10	2	1987	7.700	7.000
11/02/1987	11	2	1987	7.200	4.000
12/02/1987	12	2	1987	7.200	4.500
13/02/1987	13	2	1987	7.200	3.000
