Annee	Port	Mois	Region	Saison	Effort	C.Thiof
1974	11	2	1	1	1389	2366
1974	11	3	1	1	708	1676.4
1974	11	4	1	1	1250	5969.4
1974	11	5	1	1	4701	7003.6
1974	11	6	1	2	8472	10785.7
1974	11	7	1	2	3778	6802.6
1974	11	8	1	2	1864	4191.5
1974	11	9	1	2	1863	3948.5
1974	11	10	1	2	1977	6791.9
1974	11	11	1	1	1193	9536.9
1974	11	12	1	1	1176	29851
1974	31	1	3	1	4089	256632.1
1974	31	2	3	1	6311	73030
1974	31	3	3	1	5377	10166.9
1974	31	4	3	1	7305	19472.7
1974	31	5	3	1	7395	114310.6
1974	31	6	3	2	2810	73561
1974	31	7	3	2	2055	14370.1
1974	31	8	3	2	116	727.6
1974	31	12	3	1	2450	37507.8
1975	11	1	1	1	2014	17776.4
1975	11	2	1	1	1638	3016.3
1975	11	3	1	1	1801	2955.5
1975	11	4	1	1	1813	6478.8
1975	11	5	1	1	3489	1982.2
1975	11	6	1	2	8267	17205.1
1975	11	7	1	2	3778	6983.7
1975	11	8	1	2	1738	2691.9
1975	11	9	1	2	1404	852
1975	11	10	1	2	632	322.7
1975	11	11	1	1	839	12815.1
1975	11	12	1	1	1007	4002.4
1975	31	1	3	1	5816	170974.6
1975	31	2	3	1	8451	289465.7
1975	31	3	3	1	9529	132136.1
1975	31	4	3	1	8267	120133.5
1975	31	5	3	1	8585	123865.6
1975	31	6	3	2	3666	184028.9
1975	31	7	3	2	2458	33908.4
1975	31	8	3	2	1584	5374.6
1975	31	9	3	2	2060	3724.6
1975	31	10	3	2	2292	1707.5
1975	31	11	3	1	2858	4975.7
1975	31	12	3	1	3183	26982.9
1976	11	1	1	1	1435	12618.7
1976	11	2	1	1	507	6097.2
1976	11	3	1	1	1162	6214.5
1976	11	4	1	1	1809	8268.9
1976	11	5	1	1	2237	6701.8
1976	11	6	1	2	7161	32769.4
1976	11	7	1	2	3267	5400.7
1976	11	8	1	2	813	1158.1
1976	11	9	1	2	391	291.7
1976	11	10	1	2	489	3627.8
1976	11	11	1	1	667	5161.2
1976	11	12	1	1	707	6277.7
1976	31	1	3	1	5521	73613.1
1976	31	2	3	1	8453	130214.1
1976	31	3	3	1	11463	100862.3
1976	31	4	3	1	9174	95392.1
1976	31	5	3	1	8450	56035.7
1976	31	6	3	2	3003	36132.6
1976	31	7	3	2	1764	7489.3
1976	31	8	3	2	1236	3225.5
1976	31	9	3	2	1395	1016.1
1976	31	10	3	2	1569	1316.4
1976	31	11	3	1	2206	3587.6
1976	31	12	3	1	3612	239441.2
1976	43	1	4	1	1312	19949.9
1976	43	2	4	1	1877	19688.8
1976	43	3	4	1	1890	12018.8
1976	43	4	4	1	1602	12334.4
1976	43	5	4	1	1524	9670.6
1976	43	6	4	2	1460	2994.4
1976	43	7	4	2	2465	4073.7
1976	43	8	4	2	3087	4494.2
1976	43	9	4	2	2182	6909.8
1976	43	10	4	2	2187	3611.3
1976	43	11	4	1	2031	3067
1976	43	12	4	1	1499	22543
1977	11	1	1	1	2004	14357.1
1977	11	2	1	1	1993	7850.9
1977	11	3	1	1	1767	9150.9
1977	11	4	1	1	2460	14480.1
1977	11	5	1	1	3741	11648.6
1977	11	6	1	2	5896	10865.6
1977	11	7	1	2	1944	4815.6
1977	11	8	1	2	1232	3100.1
1977	11	9	1	2	1086	4546.3
1977	11	10	1	2	545	1726.8
1977	11	11	1	1	397	2279.6
1977	11	12	1	1	998	42651.6
1977	31	1	3	1	4642	179501.7
1977	31	2	3	1	7908	77816
1977	31	3	3	1	13229	63212.9
1977	31	4	3	1	10377	76261
1977	31	5	3	1	8745	75136.3
1977	31	6	3	2	2351	39101.2
1977	31	7	3	2	1061	9223.8
1977	31	8	3	2	699	2607.7
1977	31	9	3	2	631	593.1
1977	31	10	3	2	716	1819.3
1977	31	11	3	1	1586	14098.5
1977	31	12	3	1	4058	225832.7
1977	43	1	4	1	1968	26405.8
1977	43	2	4	1	1998	19313.1
1977	43	3	4	1	2036	18139
1977	43	4	4	1	2026	9646.4
1977	43	5	4	1	2028	3782.2
1977	43	6	4	2	1975	4309.8
1977	43	7	4	2	2230	4891.3
1977	43	8	4	2	2891	4493.2
1977	43	9	4	2	2645	530.5
1977	43	10	4	2	2688	3487.2
1977	43	11	4	1	2384	13219.6
1977	43	12	4	1	2026	35538.3
1978	11	1	1	1	1523	25484.9
1978	11	2	1	1	1059	5669.4
1978	11	3	1	1	825	8517.2
1978	11	4	1	1	1044	8721.9
1978	11	5	1	1	2386	5860.9
1978	11	6	1	2	1640	7351.3
1978	11	7	1	2	524	2254.1
1978	11	8	1	2	530	2511.9
1978	11	9	1	2	611	493
1978	11	10	1	2	725	836.9
1978	11	11	1	1	494	927.6
1978	11	12	1	1	553	3092.2
1978	31	1	3	1	9380	133329.8
1978	31	2	3	1	10332	97316.7
1978	31	3	3	1	15365	194525.7
1978	31	4	3	1	10985	30660.2
1978	31	5	3	1	10222	37733.8
