CodeBateau	CodeMaree	CodeZone	Puiss	TJB	Mois	Annee	Bathy	Zone	Effort	C.Thiof
1004	108	331	3	4	1	83	2	3	16470	5477
1010	58	331	3	4	1	83	2	3	2830	345
1010	58	331	3	4	1	83	3	3	640	210
1004	108	441	3	4	1	83	2	4	1520	275
1010	58	441	3	4	1	83	2	4	4975	863
1010	58	441	3	4	1	83	3	4	6280	1708
1010	58	553	3	4	1	83	3	5	628	85
1010	58	553	3	4	1	83	4	5	3805	85
1004	101	331	3	4	2	83	2	3	13715	3715
1010	105	331	3	4	2	83	2	3	9708	1930
1010	105	331	3	4	2	83	3	3	373	0
1004	101	332	3	4	2	83	2	3	180	25
1004	101	441	3	4	2	83	2	4	4775	555
1010	58	441	3	4	2	83	2	4	1460	205
1010	58	441	3	4	2	83	3	4	3810	845
1010	105	441	3	4	2	83	2	4	3154	275
1010	105	441	3	4	2	83	3	4	7126	1025
1004	101	331	3	4	3	83	2	3	19645	7030
1010	105	331	3	4	3	83	2	3	10116	5510
1010	105	331	3	4	3	83	3	3	4368	910
1004	101	441	3	4	3	83	2	4	12045	1825
1010	105	441	3	4	3	83	2	4	9499	1100
1010	105	441	3	4	3	83	3	4	4296	855
1004	79	331	3	4	4	83	2	3	30425	20170
1004	79	331	3	4	4	83	3	3	505	260
1010	100	331	3	4	4	83	1	3	595	0
1010	100	331	3	4	4	83	2	3	30260	10125
1010	100	331	3	4	4	83	3	3	620	175
1004	79	332	3	4	4	83	2	3	2355	1330
1004	79	441	3	4	4	83	2	4	675	80
1010	100	441	3	4	4	83	3	4	510	250
1004	79	331	3	4	5	83	2	3	15595	10265
1004	83	331	3	4	5	83	2	3	6110	3087
1010	100	331	3	4	5	83	1	3	1825	350
1010	100	331	3	4	5	83	2	3	14065	4075
1004	79	332	3	4	5	83	2	3	2015	910
1004	83	332	3	4	5	83	2	3	360	357
1004	79	441	3	4	5	83	2	4	2015	825
1010	100	441	3	4	5	83	2	4	1240	125
1010	100	441	3	4	5	83	3	4	1315	275
1004	83	331	3	4	6	83	2	3	13265	4610
1004	83	331	3	4	6	83	3	3	2865	1285
1004	83	331	3	4	6	83	4	3	180	15
1010	99	331	3	4	6	83	2	3	22215	7040
1010	99	331	3	4	6	83	3	3	7500	2005
1004	83	332	3	4	6	83	2	3	4480	1967
1004	83	441	3	4	6	83	2	4	23900	5106
1004	83	441	3	4	6	83	3	4	950	125
1010	99	441	3	4	6	83	2	4	10220	2570
1010	99	441	3	4	6	83	3	4	2880	450
1016	187	441	2	2	6	83	2	4	3115	689
1016	187	441	2	2	6	83	3	4	215	80
1004	83	442	3	4	6	83	2	4	185	15
1016	187	442	2	2	6	83	2	4	1540	200
1016	187	442	2	2	6	83	3	4	245	25
1010	145	331	3	4	7	83	2	3	670	60
1015	161	331	2	2	7	83	4	3	197	14
1016	102	331	2	2	7	83	1	3	790	22
1004	83	441	3	4	7	83	2	4	7410	1230
1004	83	441	3	4	7	83	3	4	610	47
1010	99	441	3	4	7	83	2	4	5275	770
1010	99	441	3	4	7	83	3	4	5360	630
1010	145	441	3	4	7	83	2	4	1015	120
1015	148	441	2	2	7	83	2	4	930	184
1015	148	441	2	2	7	83	4	4	2010	445
1015	161	441	2	2	7	83	4	4	1735	127
1016	102	441	2	2	7	83	1	4	445	40
1016	102	441	2	2	7	83	2	4	9215	851
1016	187	441	2	2	7	83	3	4	613	100
1016	188	441	2	2	7	83	2	4	3400	1035
1016	188	441	2	2	7	83	3	4	2225	597
1017	97	441	2	2	7	83	1	4	935	57
1017	97	441	2	2	7	83	2	4	4930	310
1017	98	441	2	2	7	83	2	4	6511	741
1017	185	441	2	2	7	83	1	4	185	16
1017	185	441	2	2	7	83	2	4	5860	480
1010	145	442	3	4	7	83	2	4	175	0
1015	161	442	2	2	7	83	4	4	799	121
1016	102	442	2	2	7	83	1	4	3475	691
1016	102	442	2	2	7	83	2	4	2450	420
1010	145	331	3	4	8	83	2	3	7630	1470
1015	163	331	2	2	8	83	4	3	365	72
1016	164	331	2	2	8	83	2	3	390	84
1017	175	331	2	2	8	83	2	3	200	10
1010	145	441	3	4	8	83	2	4	15340	1690
1010	145	441	3	4	8	83	3	4	9410	1040
1015	149	441	2	2	8	83	2	4	4780	730
1015	150	441	2	2	8	83	3	4	180	40
1015	163	441	2	2	8	83	4	4	2687	415
1016	102	441	2	2	8	83	1	4	795	127
1016	102	441	2	2	8	83	2	4	5345	610
1016	160	441	2	2	8	83	2	4	5100	397
1016	160	441	2	2	8	83	3	4	675	11
1016	164	441	2	2	8	83	2	4	180	56
