year	sect	hab	wat.vel	age	density	Lf	reliability	reliability.log
1986	A	flats	21	0	5.4	92	1	TRUE
1986	A	flats	28	1	4.9	131	1	TRUE
1986	A	rapids	54	0	3.2	109	1	TRUE
1986	A	rapids	47	1	4.7	157	1	TRUE
1986	A	runs	40	0	7.5	94	0	FALSE
1986	A	runs	35	1	4.9	144	0	FALSE
1986	B	flats	27	0	7.5	97	0	FALSE
1986	B	flats	27	1	4.9	156	0	FALSE
1986	B	rapids	52	0	22.3	90	1	TRUE
1986	B	rapids	48	1	5.4	138	1	TRUE
1986	B	runs	38	0	8.5	111	1	TRUE
1986	B	runs	40	1	5	146	1	TRUE
1986	C	flats	18	0	7.5	87	0	FALSE
1986	C	flats	26	1	6.1	129	0	FALSE
1986	C	flats	23	0	4.3	107	1	TRUE
1986	C	flats	19	1	4.4	146	1	TRUE
1986	C	rapids	60	0	6.4	89	1	TRUE
1986	C	rapids	45	0	21.4	84	1	TRUE
1986	C	rapids	60	1	4.5	115	1	TRUE
1986	C	rapids	51	1	6.6	139	1	TRUE
1986	C	runs	45	0	7.5	105	0	FALSE
1986	C	runs	34	0	7.4	81	0	FALSE
1986	C	runs	32	1	4.5	140	0	FALSE
1986	C	runs	41	1	6.1	168	0	FALSE
1987	A	flats	23	0	5.1	81	0	FALSE
1987	A	flats	27	1	3.8	138	0	FALSE
1987	A	rapids	59	0	11.6	87	1	TRUE
1987	A	rapids	55	1	2.2	164	1	TRUE
1987	A	runs	30	0	7.5	104	0	FALSE
1987	A	runs	42	1	6	139	0	FALSE
1987	B	flats	15	0	7.5	92	0	FALSE
1987	B	flats	29	1	4.5	146	0	FALSE
1987	B	rapids	60	0	9	84	0	FALSE
1987	B	rapids	46	1	17.8	120	0	FALSE
1987	B	runs	42	0	7.4	96	0	FALSE
1987	B	runs	37	1	6.8	156	0	FALSE
1987	C	flats	15	0	5.7	109	0	FALSE
1987	C	flats	24	0	7.5	97	0	FALSE
1987	C	flats	17	1	3.4	158	0	FALSE
1987	C	flats	29	1	5.3	132	0	FALSE
1987	C	rapids	53	0	6.3	97	0	FALSE
1987	C	rapids	60	1	4.5	153	0	FALSE
1987	C	rapids	58	0	7.3	88	1	TRUE
1987	C	rapids	55	1	17.1	140	1	TRUE
1987	C	runs	33	0	7.4	91	0	FALSE
1987	C	runs	37	0	7.5	104	0	FALSE
1987	C	runs	43	1	6	104	0	FALSE
1987	C	runs	41	1	5.2	143	0	FALSE
1988	A	flats	15	0	5.6	108	1	TRUE
1988	A	flats	29	1	3.6	147	1	TRUE
1988	A	rapids	50	0	4.8	72	1	TRUE
1988	A	rapids	54	1	9.3	134	1	TRUE
1988	A	runs	37	0	7.4	94	0	FALSE
1988	A	runs	38	1	6	146	0	FALSE
1988	B	flats	25	0	5.5	109	1	TRUE
1988	B	flats	21	1	4.5	184	1	TRUE
1988	B	rapids	50	0	3.3	108	1	TRUE
1988	B	rapids	59	1	6.3	152	1	TRUE
1988	B	runs	30	0	5.4	103	1	TRUE
1988	B	runs	30	1	5.2	153	1	TRUE
1988	C	flats	23	0	7.5	99	0	FALSE
1988	C	flats	29	1	4.5	143	0	FALSE
1988	C	flats	20	0	5.2	93	1	TRUE
1988	C	flats	27	1	4	157	1	TRUE
1988	C	rapids	45	0	5.8	104	1	TRUE
1988	C	rapids	60	0	12.6	104	1	TRUE
1988	C	rapids	56	1	5	159	1	TRUE
1988	C	rapids	48	1	5.8	133	1	TRUE
1988	C	runs	32	0	5.6	88	1	TRUE
1988	C	runs	37	0	5.3	88	1	TRUE
1988	C	runs	40	1	5.9	165	1	TRUE
1988	C	runs	41	1	4.5	158	1	TRUE
1989	A	flats	20	0	5.4	79	0	FALSE
1989	A	flats	30	1	3.4	153	0	FALSE
1989	A	rapids	53	0	8.2	83	1	TRUE
1989	A	rapids	45	1	3.4	161	1	TRUE
1989	A	runs	31	0	7.5	108	0	FALSE
1989	A	runs	44	1	5.9	156	0	FALSE
1989	B	flats	18	0	5.9	94	1	TRUE
1989	B	flats	24	1	3.3	133	1	TRUE
1989	B	rapids	52	0	16.4	97	1	TRUE
1989	B	rapids	45	1	2.6	130	1	TRUE
1989	B	runs	39	0	11	82	1	TRUE
1989	B	runs	39	1	3.8	125	1	TRUE
1989	C	flats	23	0	7.6	69	0	FALSE
1989	C	flats	19	1	5.3	129	0	FALSE
1989	C	flats	26	0	5.7	91	1	TRUE
1989	C	flats	30	1	4.2	140	1	TRUE
1989	C	rapids	60	0	5.8	83	1	TRUE
1989	C	rapids	47	0	18.9	87	1	TRUE
1989	C	rapids	51	1	4.6	143	1	TRUE
1989	C	rapids	57	1	10.1	124	1	TRUE
1989	C	runs	38	0	5.4	99	1	TRUE
1989	C	runs	42	0	6.9	100	1	TRUE
1989	C	runs	32	1	3.9	149	1	TRUE
1989	C	runs	34	1	4.2	120	1	TRUE
1990	A	flats	22	0	5.8	83	0	FALSE
1990	A	flats	27	1	4.3	160	0	FALSE
1990	A	rapids	50	0	6.1	89	1	TRUE
1990	A	rapids	48	1	5.7	164	1	TRUE
1990	A	runs	30	0	7.4	93	0	FALSE
1990	A	runs	34	1	5.3	190	0	FALSE
1990	B	flats	28	0	5.7	89	1	TRUE
1990	B	flats	30	1	3.5	129	1	TRUE
1990	B	rapids	57	0	16.2	91	1	TRUE
1990	B	rapids	49	1	11.5	162	1	TRUE
1990	B	runs	41	0	9.2	77	1	TRUE
1990	B	runs	43	1	7.7	161	1	TRUE
1990	C	flats	22	0	7.4	90	0	FALSE
1990	C	flats	21	1	5.3	135	0	FALSE
1990	C	flats	21	0	5.8	73	1	TRUE
1990	C	flats	25	1	4.6	135	1	TRUE
1990	C	rapids	53	0	7.8	99	1	TRUE
1990	C	rapids	47	0	37.4	74	1	TRUE
1990	C	rapids	55	1	4.6	152	1	TRUE
1990	C	rapids	60	1	13.2	128	1	TRUE
1990	C	runs	37	0	5.4	89	1	TRUE
1990	C	runs	38	0	7.3	117	1	TRUE
1990	C	runs	30	1	3.2	171	1	TRUE
1990	C	runs	32	1	5.5	159	1	TRUE
1991	A	flats	16	0	4.2	96	1	TRUE
1991	A	flats	18	1	3.5	143	1	TRUE
1991	A	rapids	49	0	9.3	89	1	TRUE
1991	A	rapids	53	1	3.7	136	1	TRUE
1991	A	runs	44	0	7.5	100	0	FALSE
1991	A	runs	35	1	5.2	178	0	FALSE
1991	B	flats	30	0	5.4	111	1	TRUE
1991	B	flats	22	1	4	132	1	TRUE
1991	B	rapids	58	0	12.5	84	1	TRUE
1991	B	rapids	59	1	13	124	1	TRUE
1991	B	runs	37	0	5.1	107	1	TRUE
1991	B	runs	44	1	7.4	150	1	TRUE
1991	C	flats	25	0	7.5	86	0	FALSE
1991	C	flats	16	1	5.9	143	0	FALSE
1991	C	flats	21	0	7	90	1	TRUE
1991	C	flats	20	1	3.5	172	1	TRUE
1991	C	rapids	45	0	5	125	1	TRUE
1991	C	rapids	56	0	9.4	80	1	TRUE
1991	C	rapids	50	1	6.2	138	1	TRUE
1991	C	rapids	58	1	22.4	130	1	TRUE
1991	C	runs	44	0	5	97	1	TRUE
1991	C	runs	38	0	5.7	89	1	TRUE
1991	C	runs	44	1	3.8	112	1	TRUE
1991	C	runs	36	1	4.4	149	1	TRUE
1992	A	flats	27	0	5.2	98	1	TRUE
1992	A	flats	28	1	2.5	181	1	TRUE
1992	A	rapids	54	0	5.7	99	1	TRUE
1992	A	rapids	46	1	7.4	117	1	TRUE
1992	A	runs	44	0	7.5	78	0	FALSE
1992	A	runs	38	1	5.3	134	0	FALSE
1992	B	flats	16	0	5.3	100	1	TRUE
1992	B	flats	20	1	4.3	163	1	TRUE
1992	B	rapids	58	0	5.2	73	1	TRUE
1992	B	rapids	50	1	7.5	125	1	TRUE
1992	B	runs	32	0	5.4	103	1	TRUE
1992	B	runs	42	1	4.1	121	1	TRUE
1992	C	flats	30	0	5.5	93	0	FALSE
1992	C	flats	15	0	7.4	107	0	FALSE
1992	C	flats	20	1	4.9	154	0	FALSE
1992	C	flats	17	1	5.3	164	0	FALSE
1992	C	rapids	47	0	5.6	85	0	FALSE
1992	C	rapids	54	1	3.5	111	0	FALSE
1992	C	rapids	59	0	8.6	84	1	TRUE
1992	C	rapids	57	1	5.6	142	1	TRUE
1992	C	runs	43	0	5.4	81	0	FALSE
1992	C	runs	31	0	6	80	0	FALSE
1992	C	runs	41	1	3	133	0	FALSE
1992	C	runs	36	1	3.4	150	0	FALSE
1993	A	flats	29	0	5.5	97	1	TRUE
1993	A	flats	22	1	3.6	163	1	TRUE
1993	A	rapids	58	0	9	94	1	TRUE
1993	A	rapids	52	1	3.4	139	1	TRUE
1993	A	runs	40	0	7.6	77	0	FALSE
1993	A	runs	30	1	5.3	139	0	FALSE
1993	B	flats	24	0	5.3	104	1	TRUE
1993	B	flats	17	1	3.2	155	1	TRUE
1993	B	rapids	57	0	5.6	93	1	TRUE
1993	B	rapids	59	1	3.1	190	1	TRUE
1993	B	runs	44	0	5.6	84	1	TRUE
1993	B	runs	31	1	4.3	169	1	TRUE
1993	C	flats	26	0	7.6	91	0	FALSE
1993	C	flats	20	1	4.4	155	0	FALSE
1993	C	flats	25	0	6.3	96	1	TRUE
1993	C	flats	19	1	4.4	140	1	TRUE
1993	C	rapids	58	0	8.5	111	1	TRUE
1993	C	rapids	50	0	4.6	79	1	TRUE
1993	C	rapids	54	1	3.9	138	1	TRUE
1993	C	rapids	48	1	5.2	155	1	TRUE
1993	C	runs	44	0	6.2	106	1	TRUE
1993	C	runs	40	0	5.7	102	1	TRUE
1993	C	runs	43	1	3.2	129	1	TRUE
1993	C	runs	34	1	4.2	126	1	TRUE
1994	A	flats	29	0	5.2	82	0	FALSE
1994	A	flats	26	1	4.4	130	0	FALSE
1994	A	rapids	46	0	4.2	90	1	TRUE
1994	A	rapids	58	1	6.3	141	1	TRUE
1994	A	runs	34	0	7.4	103	0	FALSE
1994	A	runs	32	1	5.3	155	0	FALSE
1994	B	flats	29	0	5.5	103	0	FALSE
1994	B	flats	22	1	3.2	195	0	FALSE
1994	B	rapids	50	0	3.8	100	1	TRUE
1994	B	rapids	50	1	3.4	127	1	TRUE
1994	B	runs	40	0	5.5	86	0	FALSE
1994	B	runs	45	1	3.9	120	0	FALSE
1994	C	flats	25	0	5.6	91	0	FALSE
1994	C	flats	18	0	7.5	97	0	FALSE
1994	C	flats	27	1	5	138	0	FALSE
1994	C	flats	16	1	4.6	135	0	FALSE
1994	C	rapids	55	0	6	90	0	FALSE
1994	C	rapids	54	1	5.1	146	0	FALSE
1994	C	rapids	59	0	4.6	98	1	TRUE
1994	C	rapids	58	1	3.7	154	1	TRUE
1994	C	runs	38	0	5.8	83	0	FALSE
1994	C	runs	34	0	5.6	75	0	FALSE
1994	C	runs	37	1	5	166	0	FALSE
1994	C	runs	45	1	4.6	143	0	FALSE
1995	A	flats	25	0	5.2	94	0	FALSE
1995	A	flats	16	1	3.6	134	0	FALSE
1995	A	rapids	45	0	7.9	102	1	TRUE
1995	A	rapids	47	1	2.5	133	1	TRUE
1995	A	runs	31	0	7.4	99	0	FALSE
1995	A	runs	32	1	5.9	127	0	FALSE
1995	B	flats	21	0	5.5	92	0	FALSE
1995	B	flats	23	1	3.9	162	0	FALSE
1995	B	rapids	59	0	9.1	87	1	TRUE
1995	B	rapids	45	1	2.7	145	1	TRUE
1995	B	runs	35	0	6	100	0	FALSE
1995	B	runs	35	1	3.3	152	0	FALSE
1995	C	flats	29	0	6.2	92	0	FALSE
1995	C	flats	21	0	7.5	85	0	FALSE
1995	C	flats	26	1	3.4	143	0	FALSE
1995	C	flats	15	1	5.3	149	0	FALSE
1995	C	rapids	56	0	11.3	108	1	TRUE
1995	C	rapids	50	0	18.1	76	1	TRUE
1995	C	rapids	59	1	3.6	145	1	TRUE
1995	C	rapids	50	1	2.8	144	1	TRUE
1995	C	runs	32	0	5.7	92	0	FALSE
1995	C	runs	42	0	6.9	103	0	FALSE
1995	C	runs	30	1	4.6	164	0	FALSE
1995	C	runs	36	1	3.4	146	0	FALSE
1996	A	flats	18	0	5.6	91	0	FALSE
1996	A	flats	16	1	4.2	162	0	FALSE
1996	A	rapids	47	0	14.4	90	1	TRUE
1996	A	rapids	46	1	6.3	128	1	TRUE
1996	A	runs	30	0	7.5	104	0	FALSE
1996	A	runs	45	1	4.4	128	0	FALSE
1996	B	flats	27	0	5.4	94	1	TRUE
1996	B	flats	20	1	3.9	165	1	TRUE
1996	B	rapids	59	0	5.4	94	1	TRUE
1996	B	rapids	55	1	7.3	144	1	TRUE
1996	B	runs	31	0	6.5	109	1	TRUE
1996	B	runs	36	1	3.6	158	1	TRUE
1996	C	flats	20	0	5.6	88	0	FALSE
1996	C	flats	29	0	7.4	88	0	FALSE
