"Year" "DFO_STAT_AREA_CODE" "Lat_start" "Lon_start" "soaktime_mn" "Nyelloweye_caught" "Nquillback_caught" "Ndogfish_caught" "Nhooks_with_bait" "Nhooks_empty" "Nhooks" "Ntot" "Nother"
2004 12 50.61 -127.08 120 0 0 54 0 129 184 55 1
2004 12 50.6 -126.91 120 0 0 91 0 122 217 95 4
2004 12 50.68 -126.93 122 1 3 16 55 106 221 60 40
2004 12 50.73 -126.98 121 0 3 120 3 88 219 128 5
2004 12 50.77 -126.9 121 0 12 85 39 64 214 111 14
2004 12 50.82 -126.96 126 0 0 1 13 11 26 2 1
2004 12 50.84 -127.09 122 2 5 7 93 87 220 40 26
2004 12 50.82 -127.01 121 0 2 69 30 93 209 86 15
2004 12 50.9 -127 120 1 0 113 11 89 226 126 12
2004 12 50.87 -127.29 120 0 6 47 63 72 220 85 32
2004 12 50.89 -127.39 120 2 6 0 170 36 225 19 11
2004 12 50.85 -127.45 120 4 21 1 110 53 223 60 34
2004 12 50.81 -127.48 123 0 17 9 52 113 227 62 36
2004 12 50.76 -127.41 120 1 9 33 49 104 223 70 27
2004 12 50.93 -127.76 120 0 21 1 60 107 223 56 34
2004 12 50.91 -127.7 129 0 2 0 22 63 102 17 15
2004 12 50.76 -126.8 120 2 10 48 58 92 224 74 14
2004 12 50.79 -126.86 122 0 8 49 10 116 223 97 40
2004 12 50.77 -126.66 126 2 16 1 152 34 225 39 20
2004 12 50.9 -126.78 120 4 13 108 14 79 225 132 7
2004 12 50.88 -126.57 120 1 10 66 115 30 224 79 2
2004 12 50.84 -126.6 120 3 6 132 31 49 225 145 4
2004 12 50.56 -126.76 120 1 3 8 50 125 215 40 28
2004 12 50.53 -126.62 120 8 26 8 58 87 224 79 37
2004 12 50.51 -126.65 121 4 9 29 51 92 225 82 40
2004 12 50.66 -126.39 119 0 2 108 10 100 221 111 1
2004 12 50.79 -126.2 120 0 22 66 88 41 221 92 4
2004 12 50.78 -126.22 121 0 6 132 29 58 226 139 1
2004 12 50.61 -126.34 120 0 3 98 21 96 220 103 2
2004 12 50.59 -126.42 120 0 0 69 64 85 223 74 5
2004 12 50.61 -126.74 120 0 17 9 87 85 224 52 26
2004 12 50.68 -126.74 120 0 0 88 0 101 223 122 34
2004 12 50.65 -126.54 120 0 0 42 59 95 220 66 24
2004 12 50.46 -126.17 119 3 8 5 76 112 224 36 20
2004 12 50.46 -126.13 120 12 5 9 142 49 229 38 12
2004 13 50.51 -125.83 120 0 0 108 6 105 219 108 0
2004 13 50.48 -125.57 120 0 0 168 4 51 224 169 1
2004 13 50.49 -125.58 121 6 2 132 23 59 222 140 0
2004 13 50.62 -125.55 122 12 20 26 75 87 221 59 1
2004 13 50.44 -125.43 120 5 7 121 31 58 223 134 1
2004 13 50.49 -125.38 121 0 1 164 0 58 223 165 0
2004 13 50.43 -125.3 119 1 2 4 191 24 225 10 3
2004 13 50.46 -125.27 120 7 16 97 34 68 224 122 2
2004 13 50.48 -125.05 120 7 16 25 122 55 226 49 1
2004 13 50.63 -124.9 119 5 3 126 23 69 227 135 1
2004 13 50.63 -124.88 120 5 2 147 15 51 220 154 0
2004 13 50.37 -125.06 119 7 3 73 106 37 226 83 0
2004 13 50.32 -125.07 118 7 8 36 141 30 225 54 3
2004 13 50.35 -124.99 120 7 2 42 29 19 104 56 5
2004 13 50.38 -124.97 134 3 3 170 10 35 223 178 2
